                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.72449,                 1.3109,                0.55783,                0.99309,                0.79534,                0.79598,                0.77326,                0.60682,                0.69888,                0.69906,                0.61768,                0.21736,                0.86231,                 1.1882,                0.82329,                0.99572,              0.0003368,              0.0003368,              0.0003368
                     87,                0.72238,                 1.3054,                0.55921,                0.99136,                 0.8067,                 0.7751,                0.77742,                 0.6023,                0.70049,                0.67068,                0.60604,                0.21335,                0.91106,                 1.1929,                0.83476,                 1.0148,               0.000317,               0.000317,               0.000317
                     88,                 0.7168,                  1.309,                0.56085,                0.99748,                0.83837,                0.73092,                0.76125,                0.59309,                0.74935,                0.62651,                0.62566,                0.21001,                0.88915,                 1.2018,                 0.8296,                 1.0207,              0.0002972,              0.0002972,              0.0002972
                     89,                0.71052,                 1.2849,                0.54349,                0.98833,                0.82277,                0.80321,                0.78408,                 0.6134,                0.73242,                0.71486,                0.66275,                0.21916,                0.88926,                 1.1979,                0.80683,                 1.0166,              0.0002774,              0.0002774,              0.0002774
                     90,                0.72152,                 1.3193,                0.56252,                0.99119,                0.81502,                0.79116,                0.78732,                 0.5993,                0.70838,                0.69076,                0.61849,                0.21816,                0.90896,                 1.1972,                0.83424,                 1.0291,              0.0002576,              0.0002576,              0.0002576
                     91,                0.61685,                0.97693,                 0.5464,                 1.0198,                0.85464,                0.77108,                0.80014,                 0.6185,                0.77101,                 0.6988,                0.67159,                0.22302,                 0.8769,                 1.1872,                0.81156,                 1.0204,              0.0002378,              0.0002378,              0.0002378
                     92,                0.60317,                0.97622,                0.52549,                 1.0213,                0.85471,                0.76707,                0.79666,                 0.6244,                0.76671,                0.68675,                0.66415,                0.22843,                0.87424,                 1.1961,                0.79146,                 1.0177,               0.000218,               0.000218,               0.000218
                     93,                0.59722,                 0.9618,                0.51295,                 1.0087,                0.86599,                0.80451,                0.79743,                0.61625,                0.74927,                0.69607,                0.65291,                0.22133,                0.87601,                 1.2255,                0.77776,                 1.0161,              0.0001982,              0.0001982,              0.0001982
                     94,                0.59178,                0.95272,                0.50546,                 1.0043,                0.82727,                 0.7886,                0.78986,                0.61942,                0.73309,                0.67285,                0.63118,                 0.2265,                0.89122,                 1.2056,                0.77499,                 1.0162,              0.0001784,              0.0001784,              0.0001784
                     95,                0.58154,                0.95633,                0.49467,                  1.002,                0.87436,                0.77108,                0.78899,                 0.6167,                0.77873,                0.68675,                0.65652,                0.22273,                   0.86,                 1.2045,                0.78417,                  0.995,              0.0001586,              0.0001586,              0.0001586
                     96,                0.57114,                0.94976,                0.48028,                 0.9924,                0.87875,                0.76707,                0.79465,                0.63109,                0.76234,                0.66988,                0.63988,                0.22747,                0.84841,                 1.2195,                 0.7671,                  0.984,              0.0001388,              0.0001388,              0.0001388
                     97,                0.56598,                0.94962,                0.48392,                0.99698,                0.84995,                0.79619,                0.81698,                0.63709,                 0.7648,                0.67909,                0.63761,                0.22883,                 0.8701,                 1.2148,                0.75777,                0.99176,               0.000119,               0.000119,               0.000119
                     98,                0.55909,                0.94242,                0.47324,                0.99223,                0.88104,                0.77912,                0.79965,                 0.6292,                0.78324,                0.69478,                0.64955,                0.22662,                0.85489,                 1.2047,                0.76824,                0.99409,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.56161,                0.94869,                0.47229,                0.99318,                0.88066,                 0.7751,                 0.7929,                0.62133,                 0.7707,                0.67871,                 0.6318,                 0.2203,                0.85835,                 1.2076,                0.75919,                0.99954,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.5611,                0.93852,                0.46633,                0.99139,                0.86317,                0.77108,                0.79189,                0.61958,                0.75316,                0.68623,                0.63854,                0.22455,                0.86297,                 1.2085,                0.76192,                 0.9995,               5.96e-05,               5.96e-05,               5.96e-05
